Gene	0bp	100bp	250bp	500bp	750bp	1000bp	1500bp	2000bp	3000bp	4000bp	5000bp	7500bp	10000bp	up_0bp	up_100bp	up_250bp	up_500bp	up_750bp	up_1000bp	up_1500bp	up_2000bp	up_3000bp	up_4000bp	up_5000bp	up_7500bp	up_10000bp	down_0bp	down_100bp	down_250bp	down_500bp	down_750bp	down_1000bp	down_1500bp	down_2000bp	down_3000bp	down_4000bp	down_5000bp	down_7500bp	down_10000bp
ID=AT3G25505.Araport11.447;Name=AT3G25505									1.0	4.0	5.0	5.0	5.0																						1.0	4.0	5.0	5.0	5.0
ID=AT3G06100.Araport11.447;Name=AT3G06100																																							
ID=AT3G05580.Araport11.447;Name=AT3G05580																																							
ID=AT3G07340.Araport11.447;Name=AT3G07340																																							
ID=AT3G58585.Araport11.447;Name=AT3G58585													3.0													3.0													
ID=AT3G22560.Araport11.447;Name=AT3G22560								1.0	1.0	2.0	2.0	2.0	2.0										1.0	1.0	1.0	1.0								1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G53670.Araport11.447;Name=AT3G53670																																							
ID=AT3G18700.Araport11.447;Name=AT3G18700																																							
ID=AT3G56560.Araport11.447;Name=AT3G56560			1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G49220.Araport11.447;Name=AT3G49220												1.0	2.0												1.0	2.0													
ID=AT3G46140.Araport11.447;Name=AT3G46140											1.0	1.0	6.0											1.0	1.0	3.0													3.0
ID=AT3G02440.Araport11.447;Name=AT3G02440											1.0	2.0	2.0																								1.0	2.0	2.0
ID=AT3G30430.Araport11.447;Name=AT3G30430				1.0	1.0	2.0	4.0	4.0	6.0	7.0	9.0	13.0	18.0				1.0	1.0	1.0	2.0	2.0	4.0	5.0	6.0	8.0	12.0						1.0	2.0	2.0	2.0	2.0	3.0	5.0	6.0
ID=AT3G50010.Araport11.447;Name=AT3G50010										1.0	2.0	2.0	2.0										1.0	2.0	2.0	2.0													
ID=AT3G58877.Araport11.447;Name=AT3G58877																																							
ID=AT3G54750.Araport11.447;Name=AT3G54750													1.0													1.0													
ID=AT3G28870.Araport11.447;Name=AT3G28870			1.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	5.0	8.0					1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0
ID=AT3G58490.Araport11.447;Name=AT3G58490																																							
ID=AT3G01010.Araport11.447;Name=AT3G01010																																							
ID=AT3G48090.Araport11.447;Name=AT3G48090												4.0	4.0												4.0	4.0													
ID=AT3G45860.Araport11.447;Name=AT3G45860				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													6.0
ID=AT3G02250.Araport11.447;Name=AT3G02250					1.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0									1.0	1.0	1.0	1.0	1.0					1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT3G05160.Araport11.447;Name=AT3G05160																																							
ID=AT3G43190.Araport11.447;Name=AT3G43190									2.0	3.0	6.0	9.0	11.0									2.0	3.0	5.0	7.0	7.0											1.0	2.0	4.0
ID=AT3G17810.Araport11.447;Name=AT3G17810											1.0	1.0	1.0																								1.0	1.0	1.0
ID=AT3G11990.Araport11.447;Name=AT3G11990	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	6.0	8.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	6.0	8.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT3G12030.Araport11.447;Name=AT3G12030									1.0	2.0	2.0	2.0	2.0									1.0	2.0	2.0	2.0	2.0													
ID=AT3G22220.Araport11.447;Name=AT3G22220								1.0	1.0	1.0	1.0	2.0	4.0								1.0	1.0	1.0	1.0	2.0	4.0													
ID=AT3G05440.Araport11.447;Name=AT3G05440					2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0					2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0													
ID=AT3G62720.Araport11.447;Name=AT3G62720																																							
ID=AT3G59710.Araport11.447;Name=AT3G59710	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	7.0	7.0	7.0	9.0	9.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	7.0	7.0	7.0	9.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G19590.Araport11.447;Name=AT3G19590																																							
ID=AT3G46900.Araport11.447;Name=AT3G46900										1.0	2.0	5.0	6.0											1.0	2.0	2.0										1.0	1.0	3.0	4.0
ID=AT3G26480.Araport11.447;Name=AT3G26480							1.0	2.0	2.0	2.0	3.0	4.0	4.0							1.0	2.0	2.0	2.0	2.0	3.0	3.0											1.0	1.0	1.0
ID=AT3G50580.Araport11.447;Name=AT3G50580																																							
ID=AT3G07330.Araport11.447;Name=AT3G07330																																							
ID=AT3G58410.Araport11.447;Name=AT3G58410									2.0	3.0	3.0	3.0	3.0									2.0	2.0	2.0	2.0	2.0										1.0	1.0	1.0	1.0
ID=AT3G01810.Araport11.447;Name=AT3G01810				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G05035.Araport11.447;Name=AT3G05035			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G61723.Araport11.447;Name=AT3G61723							1.0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G45243.Araport11.447;Name=AT3G45243				1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	6.0	7.0								1.0	1.0	1.0	1.0	4.0	4.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0
ID=AT3G57750.Araport11.447;Name=AT3G57750																																							
ID=AT3G12830.Araport11.447;Name=AT3G12830										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT3G53740.Araport11.447;Name=AT3G53740												1.0	2.0													1.0												1.0	1.0
ID=AT3G49142.Araport11.447;Name=AT3G49142																																							
ID=AT3G50800.Araport11.447;Name=AT3G50800									2.0	2.0	4.0	4.0	5.0									2.0	2.0	4.0	4.0	4.0													1.0
ID=AT3G04280.Araport11.447;Name=AT3G04280																																							
ID=AT3G12350.Araport11.447;Name=AT3G12350																																							
ID=AT3G57600.Araport11.447;Name=AT3G57600																																							
ID=AT3G20630.Araport11.447;Name=AT3G20630																																							
ID=AT3G14580.Araport11.447;Name=AT3G14580																																							
ID=AT3G04150.Araport11.447;Name=AT3G04150																																							
ID=AT3G16180.Araport11.447;Name=AT3G16180																																							
ID=AT3G25940.Araport11.447;Name=AT3G25940																																							
ID=AT3G13882.Araport11.447;Name=AT3G13882										1.0	1.0	1.0	2.0																							1.0	1.0	1.0	2.0
ID=AT3G20993.Araport11.447;Name=AT3G20993					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G55970.Araport11.447;Name=AT3G55970			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0													
ID=AT3G03810.Araport11.447;Name=AT3G03810												1.0	2.0												1.0	2.0													
ID=AT3G08740.Araport11.447;Name=AT3G08740												3.0	3.0																									3.0	3.0
ID=AT3G01175.Araport11.447;Name=AT3G01175	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G26490.Araport11.447;Name=AT3G26490												2.0	2.0												2.0	2.0													
ID=AT3G50220.Araport11.447;Name=AT3G50220											1.0	2.0	2.0											1.0	1.0	1.0												1.0	1.0
ID=AT3G17250.Araport11.447;Name=AT3G17250											1.0	3.0	3.0												1.0	1.0											1.0	2.0	2.0
ID=AT3G44890.Araport11.447;Name=AT3G44890												1.0	4.0													1.0												1.0	3.0
ID=AT3G10070.Araport11.447;Name=AT3G10070									1.0	1.0	2.0	2.0	4.0									1.0	1.0	2.0	2.0	4.0													
ID=AT3G12820.Araport11.447;Name=AT3G12820												1.0	1.0												1.0	1.0													
ID=AT3G25490.Araport11.447;Name=AT3G25490																																							
ID=AT3G50140.Araport11.447;Name=AT3G50140												1.0	1.0																									1.0	1.0
ID=AT3G14205.Araport11.447;Name=AT3G14205											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT3G27050.Araport11.447;Name=AT3G27050					1.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	5.0									1.0	1.0	1.0	1.0	2.0					1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
ID=AT3G53200.Araport11.447;Name=AT3G53200																																							
ID=AT3G12780.Araport11.447;Name=AT3G12780																																							
ID=AT3G56980.Araport11.447;Name=AT3G56980																																							
ID=AT3G59455.Araport11.447;Name=AT3G59455										1.0	2.0	2.0	2.0																							1.0	2.0	2.0	2.0
ID=AT3G29200.Araport11.447;Name=AT3G29200	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	4.0	4.0	6.0	9.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	4.0	5.0
ID=AT3G57530.Araport11.447;Name=AT3G57530	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT3G27820.Araport11.447;Name=AT3G27820	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	7.0	7.0
ID=AT3G14260.Araport11.447;Name=AT3G14260								1.0	1.0	2.0	2.0	2.0	2.0										1.0	1.0	1.0	1.0								1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G53390.Araport11.447;Name=AT3G53390																																							
ID=AT3G08880.Araport11.447;Name=AT3G08880																																							
ID=AT3G46780.Araport11.447;Name=AT3G46780							1.0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G10740.Araport11.447;Name=AT3G10740									1.0	1.0	1.0	1.0	3.0									1.0	1.0	1.0	1.0	3.0													
ID=AT3G25620.Araport11.447;Name=AT3G25620									3.0	3.0	3.0	4.0	5.0									3.0	3.0	3.0	4.0	5.0													
ID=AT3G04840.Araport11.447;Name=AT3G04840																																							
ID=AT3G16310.Araport11.447;Name=AT3G16310																																							
ID=AT3G04181.Araport11.447;Name=AT3G04181								1.0	1.0	1.0	1.0	1.0	1.0																					1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G20230.Araport11.447;Name=AT3G20230										1.0	1.0	1.0	1.0																							1.0	1.0	1.0	1.0
ID=AT3G59440.Araport11.447;Name=AT3G59440																																							
ID=AT3G61520.Araport11.447;Name=AT3G61520							1.0	2.0	2.0	2.0	2.0	2.0	2.0																				1.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT3G28030.Araport11.447;Name=AT3G28030			1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	7.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	5.0							1.0	1.0	1.0	1.0	1.0	1.0	2.0
ID=AT3G05040.Araport11.447;Name=AT3G05040						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G26935.Araport11.447;Name=AT3G26935													1.0													1.0													
ID=AT3G51990.Araport11.447;Name=AT3G51990																																							
ID=AT3G60250.Araport11.447;Name=AT3G60250	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
ID=AT3G24420.Araport11.447;Name=AT3G24420				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0													
ID=AT3G09000.Araport11.447;Name=AT3G09000																																							
ID=AT3G05685.Araport11.447;Name=AT3G05685																																							
ID=AT3G47290.Araport11.447;Name=AT3G47290	1.0	1.0	1.0	2.0	3.0	4.0	5.0	6.0	8.0	9.0	9.0	10.0	15.0	1.0	1.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	7.0	7.0	8.0	13.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0	3.0
ID=AT3G03420.Araport11.447;Name=AT3G03420																																							
ID=AT3G57480.Araport11.447;Name=AT3G57480										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT3G06480.Araport11.447;Name=AT3G06480																																							
ID=AT3G04760.Araport11.447;Name=AT3G04760																																							
ID=AT3G61940.Araport11.447;Name=AT3G61940											1.0	1.0	1.0											1.0	1.0	1.0													
ID=AT3G10605.Araport11.447;Name=AT3G10605																																							
ID=AT3G51120.Araport11.447;Name=AT3G51120										1.0	1.0	1.0	2.0																							1.0	1.0	1.0	2.0
ID=AT3G11850.Araport11.447;Name=AT3G11850										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT3G13772.Araport11.447;Name=AT3G13772	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G11450.Araport11.447;Name=AT3G11450																																							
ID=AT3G22570.Araport11.447;Name=AT3G22570									1.0	2.0	2.0	2.0	2.0									1.0	1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0
ID=AT3G14850.Araport11.447;Name=AT3G14850		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G11930.Araport11.447;Name=AT3G11930																																							
ID=AT3G01120.Araport11.447;Name=AT3G01120					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G54470.Araport11.447;Name=AT3G54470				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G46666.Araport11.447;Name=AT3G46666												1.0	1.0												1.0	1.0													
ID=AT3G62820.Araport11.447;Name=AT3G62820																																							
ID=AT3G13370.Araport11.447;Name=AT3G13370																																							
ID=AT3G55800.Araport11.447;Name=AT3G55800																																							
ID=AT3G06080.Araport11.447;Name=AT3G06080																																							
ID=AT3G55935.Araport11.447;Name=AT3G55935												2.0	2.0												2.0	2.0													
ID=AT3G26400.Araport11.447;Name=AT3G26400						1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0						1.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0													
ID=AT3G10870.Araport11.447;Name=AT3G10870																																							
ID=AT3G56930.Araport11.447;Name=AT3G56930																																							
ID=AT3G26050.Araport11.447;Name=AT3G26050																																							
ID=AT3G33494.Araport11.447;Name=AT3G33494	2.0	2.0	2.0	4.0	5.0	6.0	7.0	8.0	10.0	13.0	13.0	13.0	16.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	6.0	6.0	6.0	8.0	2.0	2.0	2.0	4.0	5.0	6.0	6.0	7.0	8.0	9.0	9.0	9.0	10.0
ID=AT3G51770.Araport11.447;Name=AT3G51770																																							
ID=AT3G16050.Araport11.447;Name=AT3G16050												1.0	2.0													1.0												1.0	1.0
ID=AT3G61610.Araport11.447;Name=AT3G61610																																							
ID=AT3G20680.Araport11.447;Name=AT3G20680																																							
ID=AT3G24710.Araport11.447;Name=AT3G24710											1.0	1.0	2.0													1.0											1.0	1.0	1.0
ID=AT3G16460.Araport11.447;Name=AT3G16460						2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0						2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0													
ID=AT3G44120.Araport11.447;Name=AT3G44120			1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	6.0	8.0	9.0			1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0	6.0	6.0										1.0	1.0	2.0	3.0
ID=AT3G28980.Araport11.447;Name=AT3G28980						1.0	2.0	3.0	6.0	8.0	9.0	11.0	11.0									3.0	5.0	6.0	8.0	8.0						1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0
ID=AT3G14640.Araport11.447;Name=AT3G14640													1.0																										1.0
ID=AT3G22740.Araport11.447;Name=AT3G22740																																							
ID=AT3G57200.Araport11.447;Name=AT3G57200																																							
ID=AT3G09500.Araport11.447;Name=AT3G09500								1.0	1.0	1.0	2.0	2.0	2.0																					1.0	1.0	1.0	2.0	2.0	2.0
ID=AT3G07255.Araport11.447;Name=AT3G07255																																							
ID=AT3G13330.Araport11.447;Name=AT3G13330				1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0																	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT3G07550.Araport11.447;Name=AT3G07550																																							
ID=AT3G24690.Araport11.447;Name=AT3G24690							1.0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G47380.Araport11.447;Name=AT3G47380																																							
ID=AT3G27020.Araport11.447;Name=AT3G27020						1.0	1.0	4.0	7.0	7.0	7.0	7.0	7.0								3.0	6.0	6.0	6.0	6.0	6.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G02760.Araport11.447;Name=AT3G02760																																							
ID=AT3G48660.Araport11.447;Name=AT3G48660													1.0													1.0													
ID=AT3G05975.Araport11.447;Name=AT3G05975																																							
ID=AT3G05425.Araport11.447;Name=AT3G05425										1.0	2.0	2.0	2.0																							1.0	2.0	2.0	2.0
ID=AT3G52180.Araport11.447;Name=AT3G52180																																							
ID=AT3G27740.Araport11.447;Name=AT3G27740			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0													
ID=AT3G25210.Araport11.447;Name=AT3G25210											3.0	3.0	3.0																								3.0	3.0	3.0
ID=AT3G54860.Araport11.447;Name=AT3G54860			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G16770.Araport11.447;Name=AT3G16770																																							
ID=AT3G24490.Araport11.447;Name=AT3G24490																																							
ID=AT3G26100.Araport11.447;Name=AT3G26100	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT3G46540.Araport11.447;Name=AT3G46540										2.0	2.0	6.0	9.0										2.0	2.0	6.0	9.0													
ID=AT3G54810.Araport11.447;Name=AT3G54810												2.0	2.0																									2.0	2.0
ID=AT3G51530.Araport11.447;Name=AT3G51530																																							
ID=AT3G29390.Araport11.447;Name=AT3G29390	1.0	1.0	1.0	2.0	2.0	3.0	4.0	5.0	6.0	6.0	6.0	8.0	9.0	1.0	1.0	1.0	2.0	2.0	3.0	4.0	4.0	5.0	5.0	5.0	6.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0
ID=AT3G61270.Araport11.447;Name=AT3G61270																																							
ID=AT3G44555.Araport11.447;Name=AT3G44555		1.0	1.0	2.0	3.0	4.0	6.0	7.0	11.0	11.0	13.0	13.0	15.0		1.0	1.0	2.0	2.0	2.0	4.0	5.0	8.0	8.0	8.0	8.0	8.0					1.0	2.0	2.0	2.0	3.0	3.0	5.0	5.0	7.0
ID=AT3G54540.Araport11.447;Name=AT3G54540				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G46180.Araport11.447;Name=AT3G46180					3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	6.0					3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	5.0													1.0
ID=AT3G47370.Araport11.447;Name=AT3G47370																																							
ID=AT3G59480.Araport11.447;Name=AT3G59480						1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0						1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0													
ID=AT3G18930.Araport11.447;Name=AT3G18930																																							
ID=AT3G05800.Araport11.447;Name=AT3G05800																																							
ID=AT3G25560.Araport11.447;Name=AT3G25560																																							
ID=AT3G13500.Araport11.447;Name=AT3G13500																																							
ID=AT3G44880.Araport11.447;Name=AT3G44880												1.0	3.0												1.0	1.0													2.0
ID=AT3G06980.Araport11.447;Name=AT3G06980												1.0	1.0																									1.0	1.0
ID=AT3G49870.Araport11.447;Name=AT3G49870						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT3G10960.Araport11.447;Name=AT3G10960							1.0	1.0	1.0	1.0	1.0	1.0	1.0																				1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G24900.Araport11.447;Name=AT3G24900										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT3G17210.Araport11.447;Name=AT3G17210									1.0	1.0	2.0	2.0	2.0																						1.0	1.0	2.0	2.0	2.0
ID=AT3G20510.Araport11.447;Name=AT3G20510										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT3G15260.Araport11.447;Name=AT3G15260													2.0																										2.0
ID=AT3G53480.Araport11.447;Name=AT3G53480	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G21580.Araport11.447;Name=AT3G21580												1.0	1.0																									1.0	1.0
ID=AT3G18295.Araport11.447;Name=AT3G18295																																							
ID=AT3G49960.Araport11.447;Name=AT3G49960																																							
ID=AT3G60080.Araport11.447;Name=AT3G60080				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0													
ID=AT3G50880.Araport11.447;Name=AT3G50880									1.0	1.0	2.0	2.0	4.0											1.0	1.0	2.0									1.0	1.0	1.0	1.0	2.0
ID=AT3G30705.Araport11.447;Name=AT3G30705					1.0	1.0	1.0	1.0	4.0	10.0	11.0	16.0	22.0					1.0	1.0	1.0	1.0	3.0	9.0	10.0	12.0	15.0									1.0	1.0	1.0	4.0	7.0
ID=AT3G13235.Araport11.447;Name=AT3G13235				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0													1.0
ID=AT3G57900.Araport11.447;Name=AT3G57900																																							
ID=AT3G58520.Araport11.447;Name=AT3G58520													4.0													4.0													
ID=AT3G55320.Araport11.447;Name=AT3G55320								1.0	1.0	1.0	2.0	2.0	2.0																					1.0	1.0	1.0	2.0	2.0	2.0
ID=AT3G07380.Araport11.447;Name=AT3G07380	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
ID=AT3G12750.Araport11.447;Name=AT3G12750																																							
ID=AT3G55310.Araport11.447;Name=AT3G55310				1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0				1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0													
ID=AT3G02240.Araport11.447;Name=AT3G02240										2.0	2.0	2.0	2.0																							2.0	2.0	2.0	2.0
ID=AT3G52440.Araport11.447;Name=AT3G52440	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT3G49500.Araport11.447;Name=AT3G49500									1.0	1.0	1.0	3.0	3.0									1.0	1.0	1.0	2.0	2.0												1.0	1.0
ID=AT3G18190.Araport11.447;Name=AT3G18190																																							
ID=AT3G25050.Araport11.447;Name=AT3G25050									1.0	2.0	2.0	4.0	4.0										1.0	1.0	1.0	1.0									1.0	1.0	1.0	3.0	3.0
ID=AT3G63350.Araport11.447;Name=AT3G63350																																							
ID=AT3G55665.Araport11.447;Name=AT3G55665					1.0	1.0	1.0	2.0	4.0	6.0	6.0	7.0	7.0																		1.0	1.0	1.0	2.0	4.0	6.0	6.0	7.0	7.0
ID=AT3G25680.Araport11.447;Name=AT3G25680				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	4.0				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0													2.0
ID=AT3G44930.Araport11.447;Name=AT3G44930				2.0	2.0	2.0	2.0	2.0	4.0	7.0	7.0	13.0	14.0				2.0	2.0	2.0	2.0	2.0	4.0	7.0	7.0	10.0	11.0												3.0	3.0
ID=AT3G61930.Araport11.447;Name=AT3G61930										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT3G58690.Araport11.447;Name=AT3G58690																																							
ID=AT3G21175.Araport11.447;Name=AT3G21175																																							
ID=AT3G07200.Araport11.447;Name=AT3G07200											1.0	1.0	1.0											1.0	1.0	1.0													
